date,AdrActCnt,BlkCnt,BlkSizeByte,BlkSizeMeanByte,CapMrktCurUSD,DiffMean,FeeMeanNtv,FeeMeanUSD,FeeMedNtv,FeeMedUSD,FeeTotNtv,FeeTotUSD,IssContNtv,IssContPctAnn,IssContUSD,IssTotNtv,IssTotUSD,NVTAdj,NVTAdj90,PriceBTC,PriceUSD,ROI1yr,ROI30d,SplyCur,TxCnt,TxTfr,TxTfrValAdjNtv,TxTfrValAdjUSD,TxTfrValMeanNtv,TxTfrValMeanUSD,TxTfrValMedNtv,TxTfrValMedUSD,TxTfrValNtv,TxTfrValUSD,VtyDayRet180d,VtyDayRet30d,VtyDayRet60d
2015-08-28,1697,4653,3214665,690.880077369439,94334692.67729537913812901229,6250868351995.99,0.00208599167097623,0.00270135921391421868439666839,0.00105,0.00135975000000000042,9.925148370505206658,12.8530671398042465921693482,24225.15625,12.1382975928481,31371.5773437500096900625,24225.15625,31371.5773437500096900625,277.67431656,,0.005577789944767307,1.2950000000000004,,,72845322.53073,4758,4710,262340.872689089,339731.4301323703599363490756,64.7472049984124,83.84763047294408389888199936,2.712719315765,3.512971513915676085087726306,304959.335542522305479431,394922.339527566507579597362,,,
2015-08-29,1537,4329,2952536,682.036498036498,85911192.23873069186035425922,6657649139909.99,0.00133062370767381,0.001568805351347422389187112302,0.00105,0.001237950000000000315,5.507451526061552074,6.493285349226571547481457818,22525,11.2829255681427,26556.9750000000067575,22525,26556.9750000000067575,179.7244304,,0.005129963420621898,1.1790000000000003,,,72867847.53073,4139,4101,405442.08357216,478016.2165315767616326250716,105.544710970013,124.437214233645358663413291,3.24884934,3.830393371860000974654802,432838.85968802197515059,510317.0155721780385542035164,,,
2015-08-30,1768,4155,2862531,688.936462093863,96213877.48431362186679033734,6780904668947.92,0.00123232146597397,0.001626664335085640769696439792,0.00105,0.001386000000000000315,5.634173742432616856,7.43710934001105594017212273,21453.59375,10.7430879401313,28318.743750000006436078125,21453.59375,28318.743750000006436078125,217.53033868,,0.00576369952031069,1.3200000000000003,,,72889301.12448,4572,4508,335076.484356956,442300.9593511820205229453071,92.287267357488,121.8191929118841876861802072,2.23039438306118,2.944120585640758269118314918,416031.001247556066509109,549160.9216467741326013242543,,,
2015-08-31,1662,4122,3011745,730.651382823872,95258420.9011724752178810876,7213764433229.34,0.00142889411362191,0.001866864448388161348321177276,0.00105,0.00137183549999999979,7.424533814378986634,9.700227673824288342280577124,21293.4375,10.6597741167685,27820.0890281249957413125,21293.4375,27820.0890281249957413125,251.2733213,,0.0056635009048226345,1.3065099999999998,,,72910594.56198,5196,5137,290164.487752669,379102.8048937395171571024495,75.0103406902564,98.00176021522687416193186195,1.65607137289418,2.163673809399974780585725421,385328.12012584699220786,503435.0422256202767238671434,,,
2015-09-01,1709,3938,2919171,741.282630777044,99186069.94179282187928013422,7641499013978.46,0.00152217540382204,0.002070158549197974856652621147,0.00105,0.001428000000000000315,7.843769855894396934,10.66752700401638218337095677,20339.21875,10.1792400822263,27661.337500000006101765625,20339.21875,27661.337500000006101765625,32.21237358,,0.005966074869127207,1.3600000000000003,,,72930933.78073,5153,5074,2264065.8128766,3079129.505512176679219743863,457.654704405219,622.4103979910979772964113216,1.6911400165049,2.299950422446664507342004951,2322139.970152080150792814,3158110.359406829701720218086,,,
2015-09-02,1645,3577,2740989,766.281520827509,95438206.27366606843409186298,8283953338039.25,0.00156953519365767,0.002053392869965842750366341638,0.00105,0.001373694914377556715,8.15373533105101579,10.66737595947179446840738198,18391.09375,9.20193467218548,24060.716146872255658578125,18391.09375,24060.716146872255658578125,340.02530372,,0.005700516076976264,1.3082808708357683,,,72949324.87448,5195,5140,214540.871151402,280679.7177398205694424662922,54.0394396121046,70.69876511520111919656332096,1.33919121264824,1.752038245899047994338758043,277762.719606217602037843,363391.6526921336977720481676,,,
2015-09-03,1570,3383,2555486,755.390481820869,90009539.28848419049001174359,8354596884230.87,0.00145908010761988,0.001799877448356655809324032286,0.00105,0.001295248500000000315,6.970025674099678731,8.59801457079914278320737223,17380.9375,8.69443414897649,21440.60307187500521428125,17380.9375,21440.60307187500521428125,166.16106047,,0.005431665865395103,1.2335700000000003,,,72966705.81198,4777,4640,439132.403261098,541700.5586907927915997209783,120.129672070852,148.1883595764409376789016213,1.34306193850428,1.656760915480725082518581551,557401.6784087537741258,687593.9884346865603688666286,,,
2015-09-04,1583,4443,3387151,762.356740940806,90038012.39702794049693630609,6469670080246.46,0.00172524926647803,0.002128215737649303984674779943,0.00105,0.001295248500000000315,9.73385636146930286,12.00739319181769084916710844,23081.875,11.5425522418705,28473.1085437500069245625,23081.875,28473.1085437500069245625,464.2373838,,0.0053360282104674105,1.2335700000000003,,,72989787.68698,5642,5038,157225.140055568,193948.2160183470649275420167,35.0864752199369,43.28162323705757225894256598,1.572932911315,1.940322851410845021879873394,176765.662158042072465524,218052.8178682960123609950881,,,
2015-09-05,1641,4921,3704996,752.894940052835,99510599.2896971380520171018,6235386210268.61,0.00165631968175461,0.002257350180061740258553826439,0.00105,0.00143101462548217425,9.14122832360336768,12.45831564376030167651860106,25629.0625,12.8118255417156,34929.1078808540347515625,25629.0625,34929.1078808540347515625,564.11427183,,0.005777251821444259,1.362871071887785,,,73015416.74948,5519,5426,129433.734255911,176401.4921437921404170649471,33.1465735646054,45.17450624340108000243660504,1.75483048,2.3916076972589562576868,179853.308161548760816346,245116.8708766940698586968739,,,
2015-09-06,1732,4978,3651161,733.459421454399,97875723.94117819269584149693,6305025872317.3,0.00145906316509994,0.00195514464123391945409368349,0.00105,0.001406999999999999895,8.055487734515995632,10.79435356425143334133122655,26168.28125,13.0766913837255,35065.496874999997383171875,26168.28125,35065.496874999997383171875,283.33998819,,0.005564657594961415,1.3399999999999999,,,73041585.03073,5521,5445,257787.7746716,345435.6180599439742212225328,55.2753810277386,74.06901057716971847246189723,2.25297317,3.018984047799999774702683,300974.449696036930573108,403305.7625926894568705197504,,0.1298270394948416,
2015-09-07,1791,4834,3638068,752.599917252793,93205053.90959169010670454995,6339141092888.29,0.00162336415220391,0.00207077954619282979743641522,0.00105,0.001339390500000000105,9.256422395866533683,11.80758497239130995701386959,25460.46875,12.7185532550596,32477.628542187502546046875,25460.46875,32477.628542187502546046875,507.67367695,,0.0053010465564992,1.2756100000000001,,6.301719180993215,73067045.49948,5702,5506,143925.219716357,183592.4495223821671625219716,36.8237848642155,46.97278821064193763737848642,2.087817510445,2.663240894498746658781751044,202751.759462370702592351,258632.1718877947122090048053,,0.13020011210311108,
2015-09-08,1697,4923,3738463,759.387162299411,92352468.3167421769382153404,6077004932538.92,0.00184630492743578,0.002332794805200625665284561876,0.00105,0.001326668476621858335,10.379926302044415805,13.11497239483849951232543875,25888.75,12.9279168322172,32710.274784899176162125,25888.75,32710.274784899176162125,327.41823666,,0.005174542980344378,1.2634937872589127,,5.292026371795853,73092934.24948,5622,5570,223240.266016034,282062.6891772859414036876062,47.344775546598,59.81982976229426565428966399,2.39315307252,3.023734039088598156759449004,263710.399794550678437213,333196.4517759788302909400565,,0.13021768901051572,
2015-09-09,1712,5035,3849882,764.624031777557,88474432.4434333,6202066849531.53,0.00175599590813042,0.0021247550488378082,0.00105,0.0012705,9.840601069163061227,11.90712729368730408467,26431.40625,13.194128798482,31982.0015625,26431.40625,31982.0015625,65.71257639,,0.005068647432188006,1.21,,0.8341736181135092,73119365.65573,5604,5531,1112714.94237773,1346385.0802770533,207.924884601922,251.58911036832562,2.01848495102,2.4423667907342,1150032.536733231987865309,1391539.36944721070531702389,,0.12512236063148538,
2015-09-10,1676,5003,3651888,729.939636218269,86728986.768170936,6289587949042.92,0.00148395565826581,0.001759526224005770917,0.00105,0.001244985,7.925807170796993218,9.3976295624139948585826,26444.21875,13.1957522383214,31354.910171875,26444.21875,31354.910171875,527.78270434,,0.0049662727960765405,1.1857,,19.767676767676754,73145809.87448,5341,5243,138590.767134229,164327.0725910553253,39.2969581741134,46.59440330704625838,2.4044590685,2.85096711752045,206033.95170687638891521,244294.456538843334336764497,,0.11505864239139159,
2015-09-11,1839,5141,3783308,735.908967127018,67883786.49239526301933277531,6561787910853.37,0.00137410652518271,0.001274780208368795891343225254,0.00105,0.000974101493775569985,8.876728152679961379,8.235080146062101191132680194,27238.59375,13.5870883158115,25269.671295448480472484375,27238.59375,25269.671295448480472484375,127.05120691,,0.0038519200194817066,0.9277157083576857,,-27.97238289148403,73173048.46823,6460,6319,575933.517278092,534302.5709485785359502124317,115.064924470843,106.747537912591717156644608,2.07826402483,1.928038181949458352146135931,727095.257731258529619793,674537.6920696685567655508529,,0.09798584292766757,
2015-09-12,1693,5026,3826914,761.423398328691,83915118.4163457522,6832639915711.84,0.00202909814036895,0.0023261378171375605905,0.00105,0.0012037095,11.354833193505237873,13.01706722470246964522847,26402.34375,13.1652018722152,30267.3828515625,26402.34375,30267.3828515625,378.27160815,,0.004850353768968833,1.14639,,-39.17710101867573,73199450.81198,5596,5493,193510.295869533,221838.26808187393587,39.6992264184066,45.510796173797142174,2.03506707550365,2.3329805446866293235,218067.850716307575993937,249990.8033826678420436894374,,0.10717833295290505,
2015-09-13,1760,4971,3795663,763.561255280628,64846414.2677979411,7022050607216.24,0.00158143068745568,0.0014004675738901265376,0.00105,0.0009298485,9.57872567391910636,8.4826320950525430192252,26171.40625,13.0453835582046,23176.6122328125,26171.40625,23176.6122328125,383.31931528,,0.0038411384342874953,0.88557,,-50.6658377263845,73225622.21823,6057,5958,191030.34806744,169170.7453380828408,37.7624629674847,33.441304330115425779,1.69760926453547,1.5033518363946761679,224988.754360273871321756,199243.2911988277322264074609,,0.11623465623070327,
2015-09-14,1781,4851,3740946,771.170068027211,69954905.87778467197536310297,6626273317244.02,0.00177701874002064,0.001697052896719711733105622006,0.00105,0.001002750000000000315,9.901548419395161346,9.455978740522382055894525819,25588.125,12.7501860805269,24436.6593750000076764375,25588.125,24436.6593750000076764375,355.1352539,,0.004135115769784755,0.9550000000000003,,-46.41521860851437,73251210.34323,5572,5491,206262.852077272,196981.0237337948218788556232,48.7956158731693,46.59981315887669613868476195,2.02093726,1.929995083300000606281178,267936.726759572500192216,255879.5740553918180645843079,,0.1150242959505555,
2015-09-15,1646,4842,3657282,755.324659231722,69612984.37294350732768256557,6418523305692,0.00155795842952188,0.001480060508045786155795842952,0.00105,0.000997500000000000105,8.426997145283307063,8.005647288019142552549714528,25615.3125,12.7592714051593,24334.54687500000256153125,25615.3125,24334.54687500000256153125,64.58343453,,0.004123289122454704,0.9500000000000001,,-38.03298868334722,73276825.65573,5409,5350,1134607.13556611,1077876.778787804613460713557,224.947155284168,213.6997975199596224947155284,2,1.9000000000000002,1203467.280770299798722312,1143293.916731784929132924477,,0.11128372521461166,
2015-09-16,1680,4956,3660494,738.598466505246,68636665.6476487282,6179108814558.4,0.00257946476121346,0.0024152560345146111364,0.00105,0.000983157,15.146617077844793236,14.18238343466919369859624,26318.125,13.1046434430351,24642.7131625,26318.125,24642.7131625,141.69017436,,0.004088048233933777,0.93634,,-27.772720961446502,73303143.78073,5872,5430,517348.109071127,484413.72844765905518,103.339813487916,96.76120096127526744,2.05553921869895,1.924683592036574843,561135.18723938156495765,525413.321219722534532446001,,0.10650366393289988,
2015-09-17,1669,4808,3622311,753.392470881864,64162506.98001375,6040422718682.24,0.00159398729349036,0.001394738881804065,0.00105,0.00091875,8.55652379145550571,7.48695831752356749625,25435.625,12.6608250156208,22256.171875,25435.625,22256.171875,301.37034523,,0.003752100675137275,0.875,,-19.29433320696432,73328579.40573,5368,5043,243317.169608548,212902.5234074795,58.6811803795695,51.3460328321233125,2.99894999999999,2.62408124999999125,295929.192654168751310839,258938.043572397657396984125,,0.10363290065429759,
2015-09-18,1643,4889,3836279,784.675598281857,62517083.6911993248,5652727817263.35,0.00203978301726956,0.0017384254742981552056,0.00105,0.000894873,11.834821066198469252,10.08634460187830740470952,25894.21875,12.8845445638858,22068.606871875,25894.21875,22068.606871875,242.02309351,,0.003655020999221409,0.85226,,-31.26935483870969,73354473.62448,5802,5610,303088.736536386,258310.40660050033236,72.8657789636496,62.100588779560008096,2.19802890046832,1.8732921107131304032,408777.019986074049019834,348384.3030533314690176437248,,0.09488196713684897,
2015-09-19,1551,5078,3730754,734.689641591178,64846601.67246629532350190894,5548291301467.73,0.00153356472102327,0.001355195010616435268298304934,0.00105,0.00092787395382817065,7.982204372925467553,7.053790030257968701651308451,27187.1875,13.5228929513135,24025.0315800883983271875,27187.1875,24025.0315800883983271875,196.54468208,,0.0038050444074607895,0.883689479836353,,-41.931299787333884,73381660.81198,5205,5060,373358.668556908,329933.1276094473548945076765,77.3207522211967,68.32753531090484766197382364,2.00037408,1.76770953023332318293024,391243.00623925552734642,345737.3286731787283058482204,,0.09514486010205964,
2015-09-20,1636,5305,4063431,765.962488218662,69090220.0465593468,6202288372044.1,0.00171347164507249,0.0016126509734764246884,0.00105,0.000988218,10.96964547175507232,10.3241915321970038646912,27982.65625,13.9132531486415,26336.15675625,27982.65625,26336.15675625,683.33382218,,0.004067905199921015,0.94116,,-34.45413265732512,73409643.46823,6402,6272,107428.669686667,101107.56676230351372,20.9813602788526,19.746817040044913016,1.77899520851683,1.6743191304476997228,131595.091668963352335551,123852.0364751615486841271792,,0.09626755646023612,
2015-09-21,1699,5075,3952585,778.834482758621,69115303.7252343468,6541475961494.77,0.00161470926898376,0.0015196997755967555616,0.00105,0.000988218,10.180741940942933773,9.58170708513785154979668,26651.875,13.2467662339625,25083.678675,26651.875,25083.678675,633.71380958,,0.004150221326034242,0.94116,,-32.774285714285725,73436295.34323,6305,6190,115882.428681759,109063.90657812430044,25.4810885186562,23.981781270218469192,1.52071226807884,1.4312335582250810544,157727.937930481952147386,148447.2260626523940830338078,,0.09619848958597778,
2015-09-22,1712,5051,4076071,806.98297366858,59202092.99863971443879969672,6624026779678.03,0.00167609423514343,0.001350730822217387871228270543,0.00105,0.000846174000000000315,11.404145175916603648,9.190372514367675969093792775,26370.3125,13.1021165330518,21251.30743750000791109375,26370.3125,21251.30743750000791109375,455.86235413,,0.003494310853764072,0.8058800000000003,,-40.305185185185174,73462665.65573,6804,6725,161150.981189718,129868.3527211699901852943569,28.9431827347614,23.32473210228952571495482043,1.20746976,0.973075730188800362240928,194642.903891270501771438,156858.8233878971303604376228,,0.09889246810181686,
